1049108254|Vintage Set (Japan) Hen and Rooster Salt &Pep|2001-12-15 18:30:44|2001-12-20 18:30:44|New York|0|7.99|NULL|USA|7.99
1049108440|Diamond Rio PINBACK BUTTON PIN|2001-12-15 18:30:56|2001-12-22 18:30:56|Ohio|0|5.00|$30.07|USA|5.00
1049109437|Hummel Hear Ye Hear Ye #15/0 TMK-5 No Reserv|2001-12-15 18:32:00|2001-12-20 18:32:00|Holden, MA|2|9.99|NULL|USA|18.50
1049109675|Lichty signed original GRIN AND BEAR IT -1956|2001-12-15 18:32:30|2001-12-22 18:32:30|LA, CA|0|20.00|NULL|USA|20.00
1049110796|ANGEL ANGELS TAPESTRY THROW BLANKET AFGHAN|2001-12-15 18:34:36|2001-12-22 18:34:36|OCALA, FL|0|37.99|NULL|USA|37.99
1049111497|Harmony Kingdom Halloween Roly polys SET of 4|2001-12-15 18:36:36|2001-12-20 18:36:36|n ca|0|80.00|NULL|USA|80.00
1049111512|Vintage Unique 50's "Universal " Mixer|2001-12-15 18:37:03|2001-12-22 18:37:03|The Great NORTHEAST|0|24.99|NULL|USA|24.99
1049113213|Old PAMCO Glass Food Chopper/Measuring Cup|2001-12-15 18:40:35|2001-12-18 18:40:35|Minnesota|0|4.99|NULL|USA|4.99
1049114064|RARE 1959 PATHFINDER Thermos|2001-12-15 18:42:27|2001-12-20 18:42:27|OREGON|0|39.00|NULL|USA|39.00
1049115447|Pair of Heavy Sterling Open Salts, Sanborn's|2001-12-15 18:45:28|2001-12-22 18:45:28|Dallas, Texas|0|20.00|NULL|USA|20.00
1049116901|LORD OF THE RINGS Trading Card Set **NEW**|2001-12-15 18:49:05|2001-12-25 18:49:05|FARGO, ND.|0|4.95|NULL|USA|4.95
1049117062|1984 Clothespin Soldier $32 value|2001-12-15 18:49:21|2001-12-18 18:49:21|El Cajon Ca|0|16.00|NULL|USA|16.00
1049118492|1975 PINK GINGHAM vinyl lunchbox|2001-12-15 18:52:40|2001-12-20 18:52:40|OREGON|0|29.00|NULL|USA|29.00
1049119156|1995 Football S F Joe Montana $50 value|2001-12-15 18:54:13|2001-12-18 18:54:13|El Cajon Ca|0|9.95|NULL|USA|9.95
1049119320|27 Mini pan mold teddy cookie cutter lot|2001-12-15 18:54:34|2001-12-22 18:54:34|reno nevada|0|9.95|NULL|USA|9.95
1049120160|Vintage 1961 PETS & PALS lunchbox|2001-12-15 18:56:52|2001-12-20 18:56:52|OREGON|0|39.00|NULL|USA|39.00
1049121259|Tall Copper Tea Kettle|2001-12-15 18:59:24|2001-12-22 18:59:24|ARK|0|49.99|NULL|USA|49.99
1049121677|Love Bites Binder ,90 Card Set and 2 Chase|2001-12-15 19:01:44|2001-12-22 19:01:44|South Texas|0|14.99|NULL|USA|14.99
1049123847|Longaberger Grandma Bonnie 2 pie Basket|2001-12-15 19:05:04|2001-12-22 19:05:04|Jefferson City, Missouri|0|90.00|$271.14|USA|90.00
1049124190|Wizard of Oz-3 diff:Krystal-Coke:N.R.|2001-12-15 19:04:18|2001-12-22 19:04:18|Kenly, North Carolina|0|7.50|NULL|USA|7.50
1049125348|Oneida Deluxe CHATEAU Serving Spoons (2)|2001-12-15 19:06:11|2001-12-25 19:06:11|Central San Joaquin Valley - California|0|4.99|$12.81|USA|4.99
1049125484|1930s Chantyn nail polish Gloriant Cosmetics|2001-12-15 19:06:40|2001-12-22 19:06:40|Groton,Vermont|0|4.99|NULL|USA|4.99
1049128143|CHERISHED TEDDIES BEAR WITH "P" BLOCK|2001-12-15 19:11:25|2001-12-20 19:11:25|Tammy's Treasures Wisconsin|0|1.50|NULL|USA|1.50
1049128286|Xena Season 6 Lucy Lawless Auto # A14|2001-12-15 19:12:01|2001-12-20 19:12:01|Sydney|6|9.99|NULL|Australia|43.99
1049129068|Shepard Of Love|2001-12-15 19:13:12|2001-12-22 19:13:12|Bluffton, Ohio|0|13.20|NULL|USA|13.20
1049130291|ACL PICTURE SODA CLUB 32 BEVERAGES /ILLINOIS|2001-12-15 19:15:22|2001-12-22 19:15:22|New Iberia, La.|0|15.00|NULL|USA|15.00
1049130819|CROCK STLYE OIL &SALT AND PEPPER|2001-12-15 19:16:08|2001-12-22 19:16:08|INDIANA|0|8.50|NULL|USA|8.50
1049131438|LENOX 2000 Ornament Time Capsule NEW in box|2001-12-15 19:17:36|2001-12-20 19:17:36|Wilmington NC LeighandMorgan1@cs.com|0|8.99|NULL|USA|8.99
1049133018|1994 Fabulous Decade|2001-12-15 19:20:54|2001-12-18 19:20:54|El Cajon Ca|0|20.00|NULL|USA|20.00
1049133366|1996 "Merry Christmas" Tie-On!! MINT + NR!!!|2001-12-15 19:21:54|2001-12-22 19:21:54|The Extremely Friendly South!! :o)|0|7.49|NULL|USA|7.49
1049134001|Metal Bread Toaster|2001-12-15 19:23:01|2001-12-22 19:23:01|Wichita, Kansas|0|5.95|NULL|USA|5.95
1049135764|Freezen Season Snowman Table Runner|2001-12-15 19:26:59|2001-12-18 19:26:59|Indy|0|8.95|$44.74|USA|8.95
1049136513|1986 HCS: Kringle's Kool Treats $75 value|2001-12-15 19:28:03|2001-12-18 19:28:03|El Cajon Ca|0|48.00|NULL|USA|48.00
1049136569|1993 HCS Shopping with Santa Anniv. $47 value|2001-12-15 19:28:07|2001-12-18 19:28:07|El Cajon Ca|0|36.00|NULL|USA|36.00
1049136648|PINBACK 1964 ND DIAMOND JUBLEE BISMARCK ND|2001-12-15 19:28:14|2001-12-22 19:28:14|CASSELTON, N.D|0|2.00|NULL|USA|2.00
1049140241|CHRISTMAS GINGERBREAD MAN COOKIE JAR JARS N/R|2001-12-15 19:34:10|2001-12-22 19:34:10|TITAN COUNTRY|0|18.99|NULL|USA|18.99
1049140840|WOLVERINE #50 DIE-CUT WEAPON X COMIC BOOK NR|2001-12-15 19:35:18|2001-12-25 19:35:18|Lafayette CA|0|2.00|NULL|USA|2.00
1049140996|1919 ROYAL AUSTRIAN O&EG MARTIN SIGND EGG CUP|2001-12-15 19:35:33|2001-12-22 19:35:33|Beautiful BC|1|5.99|NULL|Canada|5.99
1049143776|AMAZING SPIDER-MAN # 289 (NM-) "HOBGOBLIN"|2001-12-15 19:41:11|2001-12-22 19:41:11|Orange County, New York, 10940-6805|0|9.99|$35.40|USA|9.99
1049144077|RETIRED!!! DEPT 56 "WHITTLESBOURNE CHURCH"|2001-12-15 19:41:42|2001-12-18 19:41:42|Houston|4|19.00|NULL|USA|22.50
1049144813|MARLEY MCLEAN Women of Star Trek AUTOGRAPH A9|2001-12-15 19:43:12|2001-12-22 19:43:12|Dallas, TX|0|9.99|NULL|USA|9.99
1049145052|BOX OF OVER 125 DC COMICS!|2001-12-15 19:43:30|2001-12-22 19:43:30|Fall River, MA|0|49.99|NULL|USA|49.99
1049145408|Cat's meow Vietnam Veterans Women's Memorial|2001-12-15 19:47:25|2001-12-22 19:47:25|Southern Ohio|0|1.50|NULL|USA|1.50
1049145481|HALLMARK SANTA'S BUMPER CAR 1998|2001-12-15 19:44:33|2001-12-22 19:44:33|macon, ga 31210|0|4.99|NULL|USA|4.99
1049146942|Star Wars Maul's Sith Infiltrator Foil|2001-12-15 19:46:51|2001-12-22 19:46:51|Ottawa|0|1.00|NULL|Canada|1.00
1049147367|CUTE JOSEF ORIGINAL DUCK - PLANTER|2001-12-15 19:48:02|2001-12-22 19:48:02|BOURG, LA.|0|3.50|NULL|USA|3.50
1049148097|DETECTIVE COMICS #456-DC-FINE CALCULATOR|2001-12-15 19:49:00|2001-12-18 19:49:00|allentown ,pa|0|2.00|NULL|USA|2.00
1049148181|TEDDY BEAR MOLD SOAP CANDY CRAFT MOLDS - NEW|2001-12-15 19:49:05|2001-12-20 19:49:05|Southern Indiana|0|1.75|NULL|USA|1.75
1049148627|Planet of the Apes Coca Cola Promo #2|2001-12-15 19:50:17|2001-12-22 19:50:17|TEXAS|0|2.00|NULL|USA|2.00
1049149244|HAWKEYE SERIES 2-4 of LIM. SERIES/2-20 SOLO|2001-12-15 19:51:53|2001-12-22 19:51:53|Fall River, MA|0|24.99|NULL|USA|24.99
1049150068|THE ABOMINATIONS #3 -MINT- MARVEL HULK|2001-12-15 19:53:47|2001-12-18 19:53:47|allentown ,pa|0|2.00|NULL|USA|2.00
1049150796|1990 Nostalgic Houses Holiday Home|2001-12-15 19:55:12|2001-12-18 19:55:12|El Cajon Ca|0|58.00|NULL|USA|58.00
1049151008|Vintage Cotton Floral Fabric - Green/Gold 30s|2001-12-15 19:56:10|2001-12-22 19:56:10|Lilburn, GA|0|6.00|NULL|USA|6.00
1049151290|KABUKI #8 -MINT- IMAGE DAVID MACK-|2001-12-15 19:56:41|2001-12-18 19:56:41|allentown ,pa|0|2.00|NULL|USA|2.00
1049152721|BORDEN'S UNIQUE 8 SIDED 40 OUNCE MILK BOTTLE|2001-12-15 20:02:11|2001-12-22 20:02:11|SANTA CRUZ, CA|0|5.00|NULL|USA|5.00
1049152965|Beautiful Silk Jacquard Upholstery Fabric 1 Y|2001-12-15 20:00:17|2001-12-22 20:00:17|Brooklyn, New York|0|30.00|NULL|USA|30.00
1049153828|1996 The Wizard of OZ Club Hot Air Balloon|2001-12-15 20:01:10|2001-12-18 20:01:10|El Cajon Ca|1|48.00|NULL|USA|48.00
